availability_id,service_id,date,uptime_pct,total_minutes,downtime_minutes,sla_breached,service_name,service_tier,sla_uptime_target_pct,month_year
1,SRV-001,2025-06-15,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
2,SRV-002,2025-06-15,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
3,SRV-003,2025-06-15,100.0,1440,0,False,EHR,critical,99.9,2025-06
4,SRV-004,2025-06-15,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
5,SRV-005,2025-06-15,95.972,1440,58,True,Billing Engine,critical,99.9,2025-06
6,SRV-006,2025-06-15,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
7,SRV-007,2025-06-15,100.0,1440,0,False,Notification Service,low,99.0,2025-06
8,SRV-008,2025-06-15,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
9,SRV-001,2025-06-16,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
10,SRV-002,2025-06-16,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
11,SRV-003,2025-06-16,100.0,1440,0,False,EHR,critical,99.9,2025-06
12,SRV-004,2025-06-16,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
13,SRV-005,2025-06-16,100.0,1440,0,False,Billing Engine,critical,99.9,2025-06
14,SRV-006,2025-06-16,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
15,SRV-007,2025-06-16,100.0,1440,0,False,Notification Service,low,99.0,2025-06
16,SRV-008,2025-06-16,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
17,SRV-001,2025-06-17,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
18,SRV-002,2025-06-17,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
19,SRV-003,2025-06-17,100.0,1440,0,False,EHR,critical,99.9,2025-06
20,SRV-004,2025-06-17,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
21,SRV-005,2025-06-17,100.0,1440,0,False,Billing Engine,critical,99.9,2025-06
22,SRV-006,2025-06-17,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
23,SRV-007,2025-06-17,92.778,1440,104,True,Notification Service,low,99.0,2025-06
24,SRV-008,2025-06-17,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
25,SRV-001,2025-06-18,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
26,SRV-002,2025-06-18,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
27,SRV-003,2025-06-18,100.0,1440,0,False,EHR,critical,99.9,2025-06
28,SRV-004,2025-06-18,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
29,SRV-005,2025-06-18,97.431,1440,37,True,Billing Engine,critical,99.9,2025-06
30,SRV-006,2025-06-18,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
31,SRV-007,2025-06-18,100.0,1440,0,False,Notification Service,low,99.0,2025-06
32,SRV-008,2025-06-18,97.639,1440,34,True,Authentication Service,critical,99.9,2025-06
33,SRV-001,2025-06-19,97.5,1440,36,True,Patient Portal,standard,99.5,2025-06
34,SRV-002,2025-06-19,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
35,SRV-003,2025-06-19,86.389,1440,196,True,EHR,critical,99.9,2025-06
36,SRV-004,2025-06-19,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
37,SRV-005,2025-06-19,96.806,1440,46,True,Billing Engine,critical,99.9,2025-06
38,SRV-006,2025-06-19,97.5,1440,36,True,Lab Results API,standard,99.5,2025-06
39,SRV-007,2025-06-19,100.0,1440,0,False,Notification Service,low,99.0,2025-06
40,SRV-008,2025-06-19,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
41,SRV-001,2025-06-20,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
42,SRV-002,2025-06-20,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
43,SRV-003,2025-06-20,100.0,1440,0,False,EHR,critical,99.9,2025-06
44,SRV-004,2025-06-20,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
45,SRV-005,2025-06-20,100.0,1440,0,False,Billing Engine,critical,99.9,2025-06
46,SRV-006,2025-06-20,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
47,SRV-007,2025-06-20,100.0,1440,0,False,Notification Service,low,99.0,2025-06
48,SRV-008,2025-06-20,96.667,1440,48,True,Authentication Service,critical,99.9,2025-06
49,SRV-001,2025-06-21,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
50,SRV-002,2025-06-21,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
51,SRV-003,2025-06-21,100.0,1440,0,False,EHR,critical,99.9,2025-06
52,SRV-004,2025-06-21,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
53,SRV-005,2025-06-21,100.0,1440,0,False,Billing Engine,critical,99.9,2025-06
54,SRV-006,2025-06-21,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
55,SRV-007,2025-06-21,100.0,1440,0,False,Notification Service,low,99.0,2025-06
56,SRV-008,2025-06-21,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
57,SRV-001,2025-06-22,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
58,SRV-002,2025-06-22,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
59,SRV-003,2025-06-22,100.0,1440,0,False,EHR,critical,99.9,2025-06
60,SRV-004,2025-06-22,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
61,SRV-005,2025-06-22,93.194,1440,98,True,Billing Engine,critical,99.9,2025-06
62,SRV-006,2025-06-22,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
63,SRV-007,2025-06-22,100.0,1440,0,False,Notification Service,low,99.0,2025-06
64,SRV-008,2025-06-22,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
65,SRV-001,2025-06-23,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
66,SRV-002,2025-06-23,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
67,SRV-003,2025-06-23,97.569,1440,35,True,EHR,critical,99.9,2025-06
68,SRV-004,2025-06-23,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
69,SRV-005,2025-06-23,100.0,1440,0,False,Billing Engine,critical,99.9,2025-06
70,SRV-006,2025-06-23,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
71,SRV-007,2025-06-23,95.486,1440,65,True,Notification Service,low,99.0,2025-06
72,SRV-008,2025-06-23,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
73,SRV-001,2025-06-24,100.0,1440,0,False,Patient Portal,standard,99.5,2025-06
74,SRV-002,2025-06-24,100.0,1440,0,False,Claims Processing,critical,99.9,2025-06
75,SRV-003,2025-06-24,100.0,1440,0,False,EHR,critical,99.9,2025-06
76,SRV-004,2025-06-24,100.0,1440,0,False,Appointment Scheduling,standard,99.5,2025-06
77,SRV-005,2025-06-24,100.0,1440,0,False,Billing Engine,critical,99.9,2025-06
78,SRV-006,2025-06-24,100.0,1440,0,False,Lab Results API,standard,99.5,2025-06
79,SRV-007,2025-06-24,100.0,1440,0,False,Notification Service,low,99.0,2025-06
80,SRV-008,2025-06-24,100.0,1440,0,False,Authentication Service,critical,99.9,2025-06
