service_name,severity,mttr_hours
Appointment Scheduling,P2,2.0375
Appointment Scheduling,P3,1.1692307692307693
Appointment Scheduling,P4,0.46499999999999997
Authentication Service,P1,3.4555555555555557
Authentication Service,P2,1.9404761904761905
Authentication Service,P3,1.0861111111111112
Authentication Service,P4,0.5722222222222223
Billing Engine,P1,2.4833333333333334
Billing Engine,P2,2.3520833333333333
Billing Engine,P3,1.221875
Billing Engine,P4,0.5450980392156862
Claims Processing,P1,3.5083333333333333
Claims Processing,P2,2.4566666666666666
Claims Processing,P3,1.1166666666666667
Claims Processing,P4,0.5568181818181818
EHR,P1,3.9555555555555557
EHR,P2,2.1590909090909087
EHR,P3,1.131547619047619
EHR,P4,0.5111111111111112
Lab Results API,P1,4.983333333333333
Lab Results API,P2,2.7577777777777777
Lab Results API,P3,1.0043010752688173
Lab Results API,P4,0.5366666666666667
Notification Service,P1,4.655555555555555
Notification Service,P2,2.701111111111111
Notification Service,P3,1.2531531531531532
Notification Service,P4,0.5845238095238094
Patient Portal,P1,3.5416666666666665
Patient Portal,P2,2.105128205128205
Patient Portal,P3,1.1261904761904762
Patient Portal,P4,0.6114035087719298
