availability_id,service_id,date,uptime_pct,total_minutes,downtime_minutes,sla_breached
1,SRV-001,2025-06-15,100.0,1440,0,False
2,SRV-002,2025-06-15,100.0,1440,0,False
3,SRV-003,2025-06-15,100.0,1440,0,False
4,SRV-004,2025-06-15,100.0,1440,0,False
5,SRV-005,2025-06-15,95.972,1440,58,True
6,SRV-006,2025-06-15,100.0,1440,0,False
7,SRV-007,2025-06-15,100.0,1440,0,False
8,SRV-008,2025-06-15,100.0,1440,0,False
9,SRV-001,2025-06-16,100.0,1440,0,False
10,SRV-002,2025-06-16,100.0,1440,0,False
11,SRV-003,2025-06-16,100.0,1440,0,False
12,SRV-004,2025-06-16,100.0,1440,0,False
13,SRV-005,2025-06-16,100.0,1440,0,False
14,SRV-006,2025-06-16,100.0,1440,0,False
15,SRV-007,2025-06-16,100.0,1440,0,False
16,SRV-008,2025-06-16,100.0,1440,0,False
17,SRV-001,2025-06-17,100.0,1440,0,False
18,SRV-002,2025-06-17,100.0,1440,0,False
19,SRV-003,2025-06-17,100.0,1440,0,False
20,SRV-004,2025-06-17,100.0,1440,0,False
21,SRV-005,2025-06-17,100.0,1440,0,False
22,SRV-006,2025-06-17,100.0,1440,0,False
23,SRV-007,2025-06-17,92.778,1440,104,True
24,SRV-008,2025-06-17,100.0,1440,0,False
25,SRV-001,2025-06-18,100.0,1440,0,False
26,SRV-002,2025-06-18,100.0,1440,0,False
27,SRV-003,2025-06-18,100.0,1440,0,False
28,SRV-004,2025-06-18,100.0,1440,0,False
29,SRV-005,2025-06-18,97.431,1440,37,True
30,SRV-006,2025-06-18,100.0,1440,0,False
31,SRV-007,2025-06-18,100.0,1440,0,False
32,SRV-008,2025-06-18,97.639,1440,34,True
33,SRV-001,2025-06-19,97.5,1440,36,True
34,SRV-002,2025-06-19,100.0,1440,0,False
35,SRV-003,2025-06-19,86.389,1440,196,True
36,SRV-004,2025-06-19,100.0,1440,0,False
37,SRV-005,2025-06-19,96.806,1440,46,True
38,SRV-006,2025-06-19,97.5,1440,36,True
39,SRV-007,2025-06-19,100.0,1440,0,False
40,SRV-008,2025-06-19,100.0,1440,0,False
41,SRV-001,2025-06-20,100.0,1440,0,False
42,SRV-002,2025-06-20,100.0,1440,0,False
43,SRV-003,2025-06-20,100.0,1440,0,False
44,SRV-004,2025-06-20,100.0,1440,0,False
45,SRV-005,2025-06-20,100.0,1440,0,False
46,SRV-006,2025-06-20,100.0,1440,0,False
47,SRV-007,2025-06-20,100.0,1440,0,False
48,SRV-008,2025-06-20,96.667,1440,48,True
49,SRV-001,2025-06-21,100.0,1440,0,False
50,SRV-002,2025-06-21,100.0,1440,0,False
51,SRV-003,2025-06-21,100.0,1440,0,False
52,SRV-004,2025-06-21,100.0,1440,0,False
53,SRV-005,2025-06-21,100.0,1440,0,False
54,SRV-006,2025-06-21,100.0,1440,0,False
55,SRV-007,2025-06-21,100.0,1440,0,False
56,SRV-008,2025-06-21,100.0,1440,0,False
57,SRV-001,2025-06-22,100.0,1440,0,False
58,SRV-002,2025-06-22,100.0,1440,0,False
59,SRV-003,2025-06-22,100.0,1440,0,False
60,SRV-004,2025-06-22,100.0,1440,0,False
61,SRV-005,2025-06-22,93.194,1440,98,True
62,SRV-006,2025-06-22,100.0,1440,0,False
63,SRV-007,2025-06-22,100.0,1440,0,False
64,SRV-008,2025-06-22,100.0,1440,0,False
65,SRV-001,2025-06-23,100.0,1440,0,False
66,SRV-002,2025-06-23,100.0,1440,0,False
67,SRV-003,2025-06-23,97.569,1440,35,True
68,SRV-004,2025-06-23,100.0,1440,0,False
69,SRV-005,2025-06-23,100.0,1440,0,False
70,SRV-006,2025-06-23,100.0,1440,0,False
71,SRV-007,2025-06-23,95.486,1440,65,True
72,SRV-008,2025-06-23,100.0,1440,0,False
73,SRV-001,2025-06-24,100.0,1440,0,False
74,SRV-002,2025-06-24,100.0,1440,0,False
75,SRV-003,2025-06-24,100.0,1440,0,False
76,SRV-004,2025-06-24,100.0,1440,0,False
77,SRV-005,2025-06-24,100.0,1440,0,False
78,SRV-006,2025-06-24,100.0,1440,0,False
79,SRV-007,2025-06-24,100.0,1440,0,False
80,SRV-008,2025-06-24,100.0,1440,0,False
81,SRV-001,2025-06-25,100.0,1440,0,False
82,SRV-002,2025-06-25,100.0,1440,0,False
83,SRV-003,2025-06-25,100.0,1440,0,False
84,SRV-004,2025-06-25,96.319,1440,53,True
85,SRV-005,2025-06-25,92.639,1440,106,True
86,SRV-006,2025-06-25,100.0,1440,0,False
87,SRV-007,2025-06-25,100.0,1440,0,False
88,SRV-008,2025-06-25,100.0,1440,0,False
89,SRV-001,2025-06-26,100.0,1440,0,False
90,SRV-002,2025-06-26,100.0,1440,0,False
91,SRV-003,2025-06-26,100.0,1440,0,False
92,SRV-004,2025-06-26,96.806,1440,46,True
93,SRV-005,2025-06-26,100.0,1440,0,False
94,SRV-006,2025-06-26,98.264,1440,25,True
95,SRV-007,2025-06-26,100.0,1440,0,False
96,SRV-008,2025-06-26,95.347,1440,67,True
97,SRV-001,2025-06-27,100.0,1440,0,False
98,SRV-002,2025-06-27,100.0,1440,0,False
99,SRV-003,2025-06-27,100.0,1440,0,False
100,SRV-004,2025-06-27,100.0,1440,0,False
101,SRV-005,2025-06-27,100.0,1440,0,False
102,SRV-006,2025-06-27,100.0,1440,0,False
103,SRV-007,2025-06-27,100.0,1440,0,False
104,SRV-008,2025-06-27,100.0,1440,0,False
105,SRV-001,2025-06-28,100.0,1440,0,False
106,SRV-002,2025-06-28,100.0,1440,0,False
107,SRV-003,2025-06-28,100.0,1440,0,False
108,SRV-004,2025-06-28,100.0,1440,0,False
109,SRV-005,2025-06-28,100.0,1440,0,False
110,SRV-006,2025-06-28,100.0,1440,0,False
111,SRV-007,2025-06-28,100.0,1440,0,False
112,SRV-008,2025-06-28,100.0,1440,0,False
113,SRV-001,2025-06-29,100.0,1440,0,False
114,SRV-002,2025-06-29,97.431,1440,37,True
115,SRV-003,2025-06-29,100.0,1440,0,False
116,SRV-004,2025-06-29,100.0,1440,0,False
117,SRV-005,2025-06-29,100.0,1440,0,False
118,SRV-006,2025-06-29,100.0,1440,0,False
119,SRV-007,2025-06-29,100.0,1440,0,False
120,SRV-008,2025-06-29,100.0,1440,0,False
121,SRV-001,2025-06-30,100.0,1440,0,False
122,SRV-002,2025-06-30,96.528,1440,50,True
123,SRV-003,2025-06-30,100.0,1440,0,False
124,SRV-004,2025-06-30,100.0,1440,0,False
125,SRV-005,2025-06-30,100.0,1440,0,False
126,SRV-006,2025-06-30,100.0,1440,0,False
127,SRV-007,2025-06-30,100.0,1440,0,False
128,SRV-008,2025-06-30,100.0,1440,0,False
129,SRV-001,2025-07-01,100.0,1440,0,False
130,SRV-002,2025-07-01,100.0,1440,0,False
131,SRV-003,2025-07-01,100.0,1440,0,False
132,SRV-004,2025-07-01,100.0,1440,0,False
133,SRV-005,2025-07-01,99.583,1440,6,True
134,SRV-006,2025-07-01,100.0,1440,0,False
135,SRV-007,2025-07-01,100.0,1440,0,False
136,SRV-008,2025-07-01,100.0,1440,0,False
137,SRV-001,2025-07-02,89.792,1440,147,True
138,SRV-002,2025-07-02,92.986,1440,101,True
139,SRV-003,2025-07-02,99.306,1440,10,True
140,SRV-004,2025-07-02,100.0,1440,0,False
141,SRV-005,2025-07-02,100.0,1440,0,False
142,SRV-006,2025-07-02,94.444,1440,80,True
143,SRV-007,2025-07-02,100.0,1440,0,False
144,SRV-008,2025-07-02,99.097,1440,13,True
145,SRV-001,2025-07-03,95.486,1440,65,True
146,SRV-002,2025-07-03,100.0,1440,0,False
147,SRV-003,2025-07-03,100.0,1440,0,False
148,SRV-004,2025-07-03,100.0,1440,0,False
149,SRV-005,2025-07-03,100.0,1440,0,False
150,SRV-006,2025-07-03,100.0,1440,0,False
151,SRV-007,2025-07-03,95.417,1440,66,True
152,SRV-008,2025-07-03,100.0,1440,0,False
153,SRV-001,2025-07-04,100.0,1440,0,False
154,SRV-002,2025-07-04,100.0,1440,0,False
155,SRV-003,2025-07-04,100.0,1440,0,False
156,SRV-004,2025-07-04,97.361,1440,38,True
157,SRV-005,2025-07-04,100.0,1440,0,False
158,SRV-006,2025-07-04,100.0,1440,0,False
159,SRV-007,2025-07-04,100.0,1440,0,False
160,SRV-008,2025-07-04,96.806,1440,46,True
161,SRV-001,2025-07-05,100.0,1440,0,False
162,SRV-002,2025-07-05,100.0,1440,0,False
163,SRV-003,2025-07-05,100.0,1440,0,False
164,SRV-004,2025-07-05,100.0,1440,0,False
165,SRV-005,2025-07-05,100.0,1440,0,False
166,SRV-006,2025-07-05,100.0,1440,0,False
167,SRV-007,2025-07-05,100.0,1440,0,False
168,SRV-008,2025-07-05,100.0,1440,0,False
169,SRV-001,2025-07-06,97.153,1440,41,True
