capacity_id,service_id,date,cpu_utilization_pct,memory_utilization_pct,storage_utilization_pct,active_connections,request_volume
1,SRV-001,2025-06-15,22.21,21.24,32.65,494,2597
2,SRV-002,2025-06-15,49.52,51.33,31.0,1636,8958
3,SRV-003,2025-06-15,36.56,48.91,31.64,2167,10922
4,SRV-004,2025-06-15,17.41,32.91,32.86,443,2722
5,SRV-005,2025-06-15,51.12,41.55,30.57,1948,13467
6,SRV-006,2025-06-15,32.49,29.62,32.74,320,2501
7,SRV-007,2025-06-15,18.28,25.27,29.49,524,5030
8,SRV-008,2025-06-15,43.85,43.26,34.28,1710,9602
9,SRV-001,2025-06-16,22.03,26.44,33.54,899,14785
10,SRV-002,2025-06-16,47.02,50.82,29.99,5882,60397
11,SRV-003,2025-06-16,52.52,43.08,32.25,4377,60916
12,SRV-004,2025-06-16,30.68,31.91,29.68,954,11839
13,SRV-005,2025-06-16,36.42,53.33,28.08,4722,62163
14,SRV-006,2025-06-16,31.78,26.31,31.82,869,12783
15,SRV-007,2025-06-16,16.46,28.81,28.1,886,17034
16,SRV-008,2025-06-16,42.96,44.3,32.99,5534,78780
17,SRV-001,2025-06-17,27.81,28.06,29.07,833,8988
18,SRV-002,2025-06-17,54.49,42.33,30.29,5172,91193
19,SRV-003,2025-06-17,47.86,44.65,31.06,5906,73153
20,SRV-004,2025-06-17,33.49,21.74,32.29,822,13695
21,SRV-005,2025-06-17,38.51,40.19,28.96,4022,60185
22,SRV-006,2025-06-17,25.34,32.34,29.81,948,16587
23,SRV-007,2025-06-17,29.66,21.77,34.3,934,13349
24,SRV-008,2025-06-17,40.26,54.63,32.39,4992,75418
25,SRV-001,2025-06-18,32.19,22.5,29.1,1109,21007
26,SRV-002,2025-06-18,37.31,51.11,28.02,5717,57872
27,SRV-003,2025-06-18,42.28,53.8,29.25,5920,61293
28,SRV-004,2025-06-18,29.28,29.84,29.57,899,17223
29,SRV-005,2025-06-18,51.52,48.57,28.84,5346,56275
30,SRV-006,2025-06-18,25.32,20.69,30.81,1150,21459
31,SRV-007,2025-06-18,21.21,21.3,31.2,947,12231
32,SRV-008,2025-06-18,49.79,43.64,30.58,5943,118728
33,SRV-001,2025-06-19,29.65,28.2,33.57,860,16618
34,SRV-002,2025-06-19,45.83,49.54,32.85,4019,53654
35,SRV-003,2025-06-19,42.53,51.07,30.15,4410,87455
36,SRV-004,2025-06-19,34.22,34.59,29.0,911,9509
37,SRV-005,2025-06-19,51.91,46.2,34.27,4916,85926
38,SRV-006,2025-06-19,25.11,29.56,30.76,1036,11005
39,SRV-007,2025-06-19,17.61,24.38,33.96,1170,16297
40,SRV-008,2025-06-19,41.53,46.79,29.64,5887,66882
41,SRV-001,2025-06-20,17.18,21.58,31.15,925,10366
42,SRV-002,2025-06-20,50.41,46.78,31.24,5704,62197
43,SRV-003,2025-06-20,41.08,50.57,32.22,4430,82246
44,SRV-004,2025-06-20,29.22,34.53,30.77,819,10637
45,SRV-005,2025-06-20,38.48,54.28,33.98,5111,79226
46,SRV-006,2025-06-20,17.04,31.91,28.85,824,14675
47,SRV-007,2025-06-20,18.96,26.01,32.8,1175,12737
48,SRV-008,2025-06-20,53.35,41.12,34.98,4395,72341
49,SRV-001,2025-06-21,16.84,32.71,33.66,336,3263
50,SRV-002,2025-06-21,53.48,46.5,33.07,2244,15514
51,SRV-003,2025-06-21,42.08,53.62,29.92,2169,12456
52,SRV-004,2025-06-21,27.34,29.71,31.49,564,4170
53,SRV-005,2025-06-21,42.66,46.29,32.5,2695,16832
54,SRV-006,2025-06-21,25.87,20.29,30.68,514,3802
55,SRV-007,2025-06-21,21.88,28.48,30.25,381,1954
56,SRV-008,2025-06-21,35.59,52.16,29.97,2712,19956
57,SRV-001,2025-06-22,26.68,23.49,29.12,374,2320
58,SRV-002,2025-06-22,50.82,51.06,33.35,2921,23012
59,SRV-003,2025-06-22,42.77,54.03,34.94,1760,10881
60,SRV-004,2025-06-22,29.76,25.38,32.14,511,3453
61,SRV-005,2025-06-22,37.84,54.23,33.86,2715,26748
62,SRV-006,2025-06-22,18.51,20.57,28.39,480,2447
63,SRV-007,2025-06-22,21.63,29.21,33.65,402,2366
64,SRV-008,2025-06-22,52.36,40.89,29.03,2557,14596
65,SRV-001,2025-06-23,25.53,25.47,28.51,1081,17967
66,SRV-002,2025-06-23,41.73,44.84,34.83,5464,78510
67,SRV-003,2025-06-23,44.74,44.76,32.95,5123,96804
68,SRV-004,2025-06-23,22.14,29.98,33.7,951,16490
69,SRV-005,2025-06-23,38.55,40.03,32.91,5145,95221
70,SRV-006,2025-06-23,26.35,22.73,30.23,1123,18095
71,SRV-007,2025-06-23,17.08,27.44,30.32,831,11191
72,SRV-008,2025-06-23,47.72,54.45,33.75,5340,92343
73,SRV-001,2025-06-24,15.23,23.15,32.85,940,16797
74,SRV-002,2025-06-24,35.96,46.57,30.94,4332,61255
75,SRV-003,2025-06-24,42.02,45.63,33.8,5577,88008
76,SRV-004,2025-06-24,19.51,26.77,33.59,813,8293
77,SRV-005,2025-06-24,37.09,45.13,34.22,4321,46450
78,SRV-006,2025-06-24,34.56,25.07,34.9,1157,19721
79,SRV-007,2025-06-24,28.07,29.11,31.04,821,10928
80,SRV-008,2025-06-24,43.19,48.31,34.48,5080,84358
81,SRV-001,2025-06-25,16.92,25.89,31.85,996,10502
82,SRV-002,2025-06-25,36.75,52.36,32.38,4960,54410
83,SRV-003,2025-06-25,47.76,54.66,31.31,4231,75518
84,SRV-004,2025-06-25,32.9,23.98,32.49,955,13093
85,SRV-005,2025-06-25,38.73,40.67,31.08,4526,83146
86,SRV-006,2025-06-25,18.02,30.45,28.68,1067,19293
87,SRV-007,2025-06-25,30.13,23.41,28.43,954,14525
88,SRV-008,2025-06-25,48.74,54.05,32.01,4471,58071
89,SRV-001,2025-06-26,32.08,20.52,32.0,1006,15809
90,SRV-002,2025-06-26,37.95,54.24,31.14,5898,68839
91,SRV-003,2025-06-26,38.85,40.64,28.55,5366,64494
92,SRV-004,2025-06-26,17.96,28.93,30.24,1090,19700
93,SRV-005,2025-06-26,46.13,48.28,34.0,5039,96605
94,SRV-006,2025-06-26,29.01,28.81,33.47,845,9714
95,SRV-007,2025-06-26,26.65,34.47,28.7,842,14983
96,SRV-008,2025-06-26,52.35,53.2,34.15,4528,74928
97,SRV-001,2025-06-27,24.46,22.58,30.82,1047,17598
98,SRV-002,2025-06-27,42.92,53.18,32.83,4098,60454
99,SRV-003,2025-06-27,42.45,45.07,33.56,4621,85157
100,SRV-004,2025-06-27,28.7,34.59,29.6,920,16042
101,SRV-005,2025-06-27,41.42,50.93,32.23,4178,60234
102,SRV-006,2025-06-27,23.14,27.27,31.62,949,10023
103,SRV-007,2025-06-27,16.31,30.64,30.82,1112,16950
104,SRV-008,2025-06-27,38.47,53.13,29.41,4115,42510
105,SRV-001,2025-06-28,22.21,22.99,30.58,439,3066
106,SRV-002,2025-06-28,48.62,43.63,31.42,2169,21261
107,SRV-003,2025-06-28,46.03,45.16,33.86,1887,17274
108,SRV-004,2025-06-28,15.55,20.74,33.98,533,3236
109,SRV-005,2025-06-28,39.5,43.1,32.56,2269,21154
110,SRV-006,2025-06-28,28.64,27.11,28.93,351,3160
111,SRV-007,2025-06-28,27.17,34.15,32.99,512,3264
112,SRV-008,2025-06-28,52.03,46.88,29.53,1953,14849
113,SRV-001,2025-06-29,26.69,20.11,35.0,589,5416
